IND03101;Estabelecimentos industriais nas datas dos Inquéritos Industriais e do Censo 1920;Anos de realização do censo;1907-1920;Anos de realização do censo;link
PE348;Média das horas habitualmente trabalhadas por semana pelas pessoas de 10 anos ou mais de idade, ocupadas na semana de referência - Todos os trabalhos;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=PE348_RM_PERC.csv&categorias=%22%20M%C3%A9dia%20das%20horas%20habitualmente%20trabalhadas%20por%20semana%20pelas%20pessoas%20de%2010%20anos%20ou%20mais%20de%20idade,%20ocupadas%20na%20semana%20de%20refer%C3%AAncia%20-%20Todos%20os%20trabalhos%22&localidade=Todas
FDT01;Pessoas de 15 anos ou mais de idade economicamente ativas;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT01_RM_ABS.csv&categorias=%22%20Pessoas%20de%2015%20anos%20ou%20mais%20de%20idade%20%20economicamente%20ativas%22&localidade=Todas
FDT03;Pessoas de 15 anos ou mais de idade economicamente ativas, desocupadas;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT03_RM_ABS.csv&categorias=%22%20Pessoas%20de%2015%20anos%20ou%20mais%20de%20idade%20economicamente%20ativas,%20desocupadas%22&localidade=Todas
PE59;Pessoas de 15 anos ou mais de idade, economicamente ativas, ocupadas - Setor de Atividade;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=PE59_RM_PERC.csv&categorias=%22Total%22&localidade=Todas
FDT04;Pessoas de 15 anos ou mais de idade, economicamente ativas, ocupadas, por posição na ocupação;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT04_RM_PERC.csv&categorias=%22Empregados%20com%20carteira%20assinada_Empregados%20sem%20carteira%20assinada_Conta-propria_Empregador%22&localidade=Todas
PE53;Pessoas economicamente ativas ocupadas, por sexo;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=PE53_RM_PERC.csv&categorias=%22Total%22&localidade=Todas
FDT09;Taxa de atividade das pessoas de 15 anos ou mais de idade;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT09_RM_PERC.csv&categorias=%22%20Taxa%20de%20atividade%20das%20pessoas%20de%2015%20anos%20ou%20mais%20de%20idade%22&localidade=Todas
PE52;Taxa de atividade, por grupos de idade;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=PE52_RM_PERC.csv&categorias=%2210%20a%2014%20anos_15%20a%2017%20anos_18%20a%2024%20anos_25%20a%2049%20anos_50%20anos%20ou%20mais%22&localidade=Todas
FDT0972;Taxa de atividade, por Sexo;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT0972_RM_PERC.csv&categorias=%22Total%22&localidade=Todas
FDT10;Taxa de desemprego aberto das pessoas de 15 anos e mais de idade. Referência: 30 dias;Mensal;jan/1991-dez/2002;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT10_RM_PERC.csv&categorias=%22%20Taxa%20de%20desemprego%20aberto%20das%20pessoas%20de%2015%20anos%20e%20mais%20de%20idade.%20Refer%C3%AAncia:%2030%20dias%22&localidade=Todas
FDT0981;Taxa de desocupação das pessoas de 10 anos ou mais de idade, por anos de estudo;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=FDT0981_RM_PERC.csv&categorias=%22Sem%20instrucao%20e%20menos%20de%208%20anos_8%20a%2010%20anos_11%20anos%20ou%20mais%22&localidade=Todas
PE63;Taxa de ocupação;Mensal;2002/mar-2015/abr;Mensal;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=PE63_RM_PERC.csv&categorias=%22%20Taxa%20de%20ocupa%C3%A7%C3%A3o%22&localidade=Todas
IU29;Trabalho e Rendimento - Taxa de desocupação;Anual;2003-2010;Anual;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=IU29_RM_PERC.csv&categorias=%22%20Trabalho%20e%20Rendimento%20-%20Taxa%20de%20desocupa%C3%A7%C3%A3o%22&localidade=Total%20das%20areas
ST42;Valor Adicionado Bruto da Indústria Variação em volume taxa acumulada em quatro trimestres;Trimestral;1996.1-2015.1;Trimestral;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=ST42_BR_PERC.csv&categorias=%22%20Valor%20Adicionado%20Bruto%20da%20Ind%C3%BAstria%20Varia%C3%A7%C3%A3o%20em%20volume%20taxa%20acumulada%20em%20quatro%20trimestres%22&localidade=Brasil
ST72;Valor Adicionado Bruto Valores constantes de 1995;Trimestral;1996.1-2015.1;Trimestral;http://seriesestatisticas.ibge.gov.br/exportador.aspx?arquivo=ST72_BR_ABS.csv&categorias=%22%20Valor%20Adicionado%20Bruto%20Valores%20constantes%20de%201995%22&localidade=Brasil
;;;;;
