Código;Nome;Fonte;Serviço;Periodicidade;Unidade;Base;Início;Fim;Descontinuação;item_fgv;Cod_Estagio;Estagio;Cod_grupo;Grupo;Cod_subgrupo;Subgrupo;Cod_item;Item ;Cod_subitem;Subitem;Cod_elementar;Elementar
159363;ICC-RJ - Média Mensal;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;jan/44;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
159371;ICC-RJ - H1 - 1 e 2 Pavimentos;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;jul/75;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
159381;ICC-RJ - H4 - 3, 4, 5 e 6 Pavimentos;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;jul/75;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
159398;ICC-RJ - H12 - 10 e Mais Pavimentos;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;jul/75;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
159401;ICC-RJ - Mão de Obra;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;dez/71;mar/15;NA;200;1;INCC TODOS OS ITENS;11;MÃO DE OBRA;0;0;0;0;0;0;0;0
159411;ICC-RJ - Materiais, Equipamentos e Serviços;Índices de Preço da Construção Civil;ICC/RJ-DI;Mensal;INDICE;01/ago;dez/71;mar/15;NA;10000;1;INCC TODOS OS ITENS;10;MATERIAIS,  EQUIPAMENTOS E SERVIÇOS;0;0;0;0;0;0;0;0
160868;INCC-DI - Total - Média Geral;Índices de Preço da Construção Civil;INCC-DI;Mensal;INDICE;08/jan;jan/44;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
160876;INCC-DI - H1 - 1 e 2 Pavimentos;Índices de Preço da Construção Civil;INCC-DI;Mensal;INDICE;01/ago;jan/82;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
160884;INCC-DI - H4 - 3, 4, 5 e 6 Pavimentos;Índices de Preço da Construção Civil;INCC-DI;Mensal;INDICE;01/ago;jan/82;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
160892;INCC-DI - H12 - 10 e Mais Pavimentos;Índices de Preço da Construção Civil;INCC-DI;Mensal;INDICE;01/ago;jan/82;mar/15;NA;1;1;INCC TODOS OS ITENS;10;0;0;0;0;0;0;0;0;0
