Código;Estrutura Completa
0;IPC - TODOS OS ITENS
1;ALIMENTAÇÃO 
11;GÊNEROS ALIMENTÍCIOS 
1101;ARROZ E FEIJÃO 
110101;ARROZ BRANCO 
110107;FEIJÃO-CARIOCA
110111;FEIJÃO-PRETO
110115;FEIJÃO-MULATINHO
1103;HORTALIÇAS E LEGUMES 
110301;ABÓBORA 
110309;AIPIM/MANDIOCA 
110313;ALFACE 
110315;ALHO 
110319;BATATA-INGLESA
110331;BRÓCOLIS 
110333;CEBOLA 
110335;CENOURA 
110345;COUVE MINEIRA 
110357;INHAME 
110363;PIMENTÃO 
110371;TOMATE 
110377;COENTRO 
1105;FRUTAS 
110503;ABACAXI 
110507;BANANA-NANICA (D'ÁGUA)
110511;BANANA-PRATA
110513;BANANA DA TERRA 
110527;LARANJA-PERA
110534;MAÇÃ NACIONAL 
110537;MAMÃO PAPAYA
110539;MAMÃO FORMOSA
110549;PÊRA
110553;TANGERINA (MEXERICA)
110555;UVAS 
110569;MELANCIA 
110571;MARACUJÁ 
110573;MANGA 
1107;MASSAS E FARINHAS 
110703;FARINHA DE MANDIOCA 
110707;FARINHA DE TRIGO 
110711;FARINHAS E FLOCOS DE CEREAIS
110715;MACARRÃO 
110717;MACARRÃO INSTÂNTANEO
110737;FUBÁ DE MILHO
1109;PANIFICADOS E BISCOITOS 
110901;BISCOITOS
110911;PÃO FRANCÊS 
110913;PÃO DE FORMA 
110915;PÃO DE OUTROS TIPOS
110917;BOLO PRONTO
110921;PÃO DOCE
1111;ADOÇANTES 
111101;AÇÚCAR REFINADO 
111103;AÇÚCAR CRISTAL
1113;DOCES E CHOCOLATES 
111303;BOMBONS E CHOCOLATES
111329;BALAS E DOCES
1115;LATICÍNIOS 
111503;IOGURTE NATURAL OU COM POLPA DE FRUTA
111505;LEITE CONDENSADO 
111507;LEITE EM PÓ 
111511;LEITE TIPO LONGA VIDA 
111513;MANTEIGA 
111515;QUEIJO MINAS 
111517;QUEIJO MUSSARELA 
111519;QUEIJO PARMESÃO 
111521;QUEIJO PRATO 
111522;QUEIJO COALHO 
111525;REQUEIJÃO CREMOSO 
111527;SORVETES 
111539;BEBIDAS LÁCTEAS
1117;AVES E OVOS 
111701;FRANGO EM PEDAÇOS 
111703;FRANGO INTEIRO 
111707;OVOS
1119;CARNES BOVINAS 
111901;ACÉM 
111903;ALCATRA 
111907;PATINHO 
111909;CHÃ-DE-DENTRO 
111911;CONTRAFILÉ
111913;COSTELA BOVINA
111915;PICANHA 
111917;FÍGADO BOVINO
111919;FILÉ-MIGNON
111921;LAGARTO PLANO
111927;CARNE MOIDA 
111928;MAMINHA
111929;MÚSCULO 
111931;PÁ/PALETA
111932;PEITO BOVINO
1121;CARNES SUÍNAS 
112101;CARRÉ DE SUÍNO
112103;COSTELINHA DE SUÍNO 
112107;LOMBO SUÍNO
112109;PERNIL SUÍNO
112112;BACON/TOUCINHO
1123;CARNES DE OUTROS ANIMAIS 
112303;PALETA DE CARNEIRO
112305;COSTELA DE CARNEIRO
1125;PESCADOS FRESCOS 
112507;CAMARÃO 
112510;CAVALA 
112515;CORVINA 
112517;FILÉ DE PEIXE  DE ÁGUA DOCE NÃO ESPECIFICADO
112519;NAMORADO 
112529;SARDINHA FRESCA 
112536;PESCADA BRANCA 
112554;CAÇÃO
112559;MERLUZA 
1127;CARNES E PEIXES INDUSTRIALIZADOS 
112701;ATUM EM CONSERVA 
112702;APRESUNTADO 
112703;BACALHAU 
112711;CARNE SECA 
112715;CARNE SALGADA DE BOVINO 
112719;LINGUIÇA 
112723;MORTADELA 
112731;PRESUNTO 
112733;SALSICHA E SALSICHÃO 
112737;SARDINHA EM CONSERVA 
112761;PATÊ
1129;ÓLEOS E GORDURAS 
112903;AZEITE DE OLIVA 
112907;MARGARINA VEGETAL 
112911;ÓLEO DE SOJA 
1131;CONDIMENTOS 
113111;LEITE DE COCO 
113113;MAIONESE 
113115;EXTRATO DE TOMATE 
113153;TEMPEROS PRONTOS
1133;VEGETAIS EM CONSERVAS 
113301;AZEITONA EM CONSERVA
113305;ERVILHA EM CONSERVA
113309;PALMITO EM CONSERVA 
113355;MILHO VERDE EM CONSERVA 
1135;BEBIDAS NÃO ALCOÓLICAS
113505;CAFÉ EM PÓ 
113517;REFRIGERANTES E ÁGUA MINERAL
113521;SUCOS DE FRUTA
113529;POLPA DE FRUTA CONGELADA
113553;REFRESCO DE FRUTA EM PÓ
113557;ERVA MATE
113573;BEBIDAS DE SOJA
1136;BEBIDAS ALCOÓLICAS
113601;CERVEJA
113603;BEBIDAS DESTILADAS
113605;VINHO
1137;OUTROS GÊNEROS ALIMENTÍCIOS 
113715;MILHO PARA PIPOCA 
113719;SOPA DESIDRATADA
113755;BATATA FRITA 
1139;ALIMENTOS PRONTOS CONGELADOS 
113901;ALIMENTOS PREPARADOS E CONGELADOS DE CARNE BOVINA
113921;ALIMENTOS PREPARADOS E CONGELADOS DE AVES
113941;MASSAS PREPARADAS E CONGELADAS
1141;GÊNEROS ALIMENTÍCIOS DIET/LIGHT
114104;IOGURTE NATURAL OU COM POLPA DE FRUTA LIGHT/DIET
114110;REFRIGERANTE LIGHT/DIET
114116;PÃO DE FORMA DIET / LIGHT
12;ALIMENTAÇÃO FORA 
1201;RESTAURANTES 
120101;REFEIÇÕES EM BARES E RESTAURANTES
1203;BARES E LANCHONETES 
120301;DOCES E SALGADOS
120309;SANDUÍCHES
120311;SORVETES FORA DE CASA
120314;REFEIÇÃO EM BAR - INCLUSIVE CAFÉ DA MANHÃ
1207;BEBIDAS ALCOÓLICAS E NÃO ALCOÓLICAS
120701;SUCOS DE FRUTAS FORA DE CASA
120703;CAFEZINHO
120705;REFRIGERANTES E ÁGUA MINERAL FORA DE CASA
120707;CERVEJAS E CHOPPS
120709;OUTRAS BEBIDAS ALCOÓLICAS
2;HABITAÇÃO 
21;ALUGUEL E ENCARGOS 
2101;ALUGUEL E CONDOMÍNIO 
210101;ALUGUEL RESIDENCIAL 
210103;CONDOMÍNIO RESIDENCIAL 
22;SERVIÇOS PÚBLICOS DE RESIDÊNCIA 
2201;SERVIÇOS PÚBLICOS DE RESIDÊNCIA
220101;TARIFA ELETRICIDADE RESIDENCIAL
220103;TARIFA GÁS DE BUJÃO
220105;TARIFA GÁS ENCANADO
220111;TAXA DE ÁGUA E ESGOTO RESIDENCIAL
23;MOBILIÁRIO 
2301;MÓVEIS 
230111;MÓVEIS PARA RESIDÊNCIA 
2307;COLCHÕES 
230703;COLCHÕES E COLCHONETES
24;ROUPAS DE CAMA, MESA E BANHO 
2401;ROUPAS DE CAMA, MESA E BANHO 
240103;LENÇOL E FRONHA
240105;TOALHAS EM GERAL
25;ELETRODOMÉSTICOS E EQUIPAMENTOS 
2501;ELETRODOMÉSTICOS 
250101;AR CONDICIONADO 
250123;REFRIGERADOR E FREEZER
250129;MÁQUINA DE LAVAR ROUPAS 
250131;LIQUIDIFICADOR 
250143;VENTILADOR E CIRCULADOR DE AR 
250145;FOGÃO
250147;FORNO ELÉTRICO E DE MICRO-ONDAS
2503;EQUIPAMENTOS ELETRÔNICOS 
250301;APARELHO DE SOM 
250305;VIDEO GAME
250317;TELEVISOR A CORES 
250319;COMPUTADOR E PERIFÉRICOS 
250326;APARELHO TELEFÔNICO CELULAR
250329;APARELHO DE DVD E BLU-RAY
250331;MÁQUINA DE FOTOGRAFAR E FILMAR
26;UTENSÍLIOS DIVERSOS 
2601;ARTIGOS DE DECORAÇÃO 
260101;CORTINA E PERSIANA
260115;TAPETE E CARPETE
2603;LOUÇAS E PANELAS 
260305;COPO DE VIDRO OU PLÁSTICO
260309;PANELAS EM GERAL 
260317;TALHERES
260319;PRATOS DE LOUÇA
2605;OUTROS UTENSÍLIOS DOMÉSTICOS 
260511;GARRAFA TÉRMICA
260525;PILHAS 
27;ARTIGOS DE CONSERVAÇÃO E REPARO 
2701;MATERIAL PARA LIMPEZA 
270101;ÁGUA SANITÁRIA 
270105;AMACIANTE PARA ROUPAS 
270111;DESINFETANTE 
270113;DETERGENTE LÍQUIDO 
270119;INSETICIDA
270135;SABÃO EM BARRA 
270137;SABÃO EM PÓ 
2703;MATERIAL PARA PINTURA 
270303;TINTAS E VERNIZES 
2705;MATERIAL HIDRÁULICO 
270501;MATERIAL HIDRÁULICO 
2707;MATERIAL ELÉTRICO 
270703;LÂMPADAS 
270705;MATERIAL ELÉTRICO - DIVERSOS
2711;MATERIAL PARA REPAROS DE RESIDÊNCIA 
271101;MATERIAL PARA REPAROS DE RESIDÊNCIA 
28;SERVIÇOS DE RESIDÊNCIA 
2801;EMPREGADOS DOMÉSTICOS
280101;EMPREGADA DOMÉSTICA DIARISTA
280103;EMPREGADA DOMÉSTICA MENSALISTA
280105;LAVADEIRA E PASSADEIRA
2803;OUTROS SERVIÇOS DE RESIDÊNCIA 
280307;CONSERTOS DE ELETRODOMÉSTICOS 
2805;MÃO DE OBRA PARA REPAROS EM RESIDÊNCIA
280501;MÃO DE OBRA PARA REPAROS EM RESIDÊNCIA
3;VESTUÁRIO 
31;ROUPAS 
3101;ROUPAS MASCULINAS 
310101;BERMUDA MASCULINA 
310103;TERNO E BLAZER MASCULINO
310105;CALÇA COMPRIDA MASCULINA 
310111;CAMISA MASCULINA 
310115;AGASALHO MASCULINO
310117;ROUPA ÍNTIMA MASCULINA
3103;ROUPAS FEMININAS 
310301;BERMUDA FEMININA 
310307;BLUSA FEMININA 
310309;CALÇA COMPRIDA FEMININA 
310313;ROUPA ÍNTIMA FEMININA
310319;AGASALHO FEMININO
310331;VESTIDO E SAIA
3105;ROUPAS INFANTIS 
310501;AGASALHO INFANTIL 
310503;BERMUDA INFANTIL 
310505;BLUSA INFANTIL
310507;CALÇA INFANTIL 
310513;ROUPAINFANTIL PARA PRÁTICA ESPORTIVA
310517;VESTIDO E SAIA INFANTIL
310525;ROUPA ÍNTIMA INFANTIL
32;CALÇADOS 
3201;CALÇADOS MASCULINOS 
320101;SANDÁLIA MASCULINA
320105;SAPATO MASCULINO
320107;TÊNIS MASCULINO
3203;CALÇADOS FEMININOS 
320303;SANDÁLIA FEMININA
320305;TÊNIS FEMININO
320307;SAPATO FEMININO
3205;CALÇADOS INFANTIS 
320505;SANDÁLIA INFANTIL 
320509;SAPATO INFANTIL 
320511;TÊNIS INFANTIL 
33;ACESSÓRIOS DO VESTUÁRIO 
3301;RELÓGIOS E BIJUTERIAS
330101;BIJUTERIAS EM GERAL 
330105;RELÓGIO
3303;CINTOS E BOLSAS 
330301;CINTO E BOLSA
35;SERVIÇOS DO VESTUÁRIO 
3501;SERVIÇOS DE CONFECÇÃO 
350101;ALFAIATE E COSTUREIRA
3503;CONSERVAÇÃO DO VESTUÁRIO 
350301;TINTURARIA E LAVANDERIA
4;SAÚDE E CUIDADOS PESSOAIS 
41;SERVIÇOS DE SAÚDE 
4101;HOSPITAIS E LABORATÓRIOS 
410103;EXAME DE LABORATÓRIO
