Data;ICS Com Ajuste Sazonal - Índice de Confiança de Serviços(1416063);Sondagem Industrial Geral - Índice de Confiança da Indústria com Ajuste Sazonal(1004971);ICOM Com ajuste Sazonal-Índice de Confiança do Comércio(1416187);ICST Com ajuste Sazonal - Índice de Confiança da Construção(1416183);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982)
set/13;117.200;97.900;123.000;118.900;113.800
out/13;117.100;98.400;122.500;119.200;111.600
nov/13;116.300;99.100;121.700;117.500;112.500
dez/13;118.100;99.900;125.100;114.700;111.200
jan/14;116.900;99.500;123.500;114.600;108.900
fev/14;116.400;98.500;120.100;114.500;107.100
mar/14;115.900;96.200;121.900;113.700;107.200
abr/14;113.100;95.600;118.800;108.600;106.300
mai/14;108.300;90.700;115.200;108.600;102.800
jun/14;108.000;87.200;113.400;106.600;103.800
jul/14;107.300;84.400;117.100;103.400;106.900
ago/14;104.000;83.400;111.300;103.800;102.300
set/14;100.700;81.100;108.600;100.300;103.000
out/14;101.900;82.600;111.600;95.600;101.500
nov/14;99.800;85.600;110.200;96.600;95.300
dez/14;101.100;84.300;108.500;95.400;96.200
jan/15;99.100;85.900;107.800;89.800;89.800
fev/15;93.700;83.000;96.000;83.100;85.400
mar/15;82.400;75.400;91.800;75.600;82.900
abr/15;85.900;72.800;92.200;77.200;85.600
mai/15;84.500;71.600;91.800;73.900;85.100
jun/15;80.700;68.100;90.400;73.500;83.900
jul/15;78.400;69.100;89.500;70.500;82.000
ago/15;74.700;68.000;85.900;70.500;80.600
set/15;68.400;66.000;82.500;66.000;76.300
out/15;71.500;67.500;80.600;63.400;75.700
